subject,electrode,x,y,z
sub-01,A01,-24,0,-46
sub-01,A02,-32,2,-50
sub-01,A03,-42,4,-50
sub-01,A04,-50,6,-46
sub-01,A05,-54,10,-38
sub-01,A07,-32,-8,-48
sub-01,A08,-42,-6,-50
sub-01,A09,-52,-2,-46
sub-01,A10,-60,2,-36
sub-01,A12,-34,-16,-40
sub-01,A13,-44,-14,-42
sub-01,A14,-54,-12,-40
sub-01,A15,-62,-8,-34
sub-01,A16,-28,-26,-32
sub-01,A17,-36,-24,-32
sub-01,A18,-46,-22,-36
sub-01,A19,-56,-20,-36
sub-01,A20,-64,-16,-30
sub-02,A01,-16,0,-32
sub-02,A02,-20,0,-42
sub-02,A03,-30,4,-48
sub-02,A04,-40,8,-48
sub-02,A05,-48,14,-44
sub-02,A07,-24,-10,-38
sub-02,A08,-32,-8,-46
sub-02,A09,-42,-4,-48
sub-02,A10,-52,2,-44
sub-02,A12,-26,-20,-32
sub-02,A13,-34,-18,-38
sub-02,A14,-44,-14,-42
sub-02,A15,-54,-8,-42
sub-02,A16,-20,-34,-22
sub-02,A17,-28,-30,-26
sub-02,A18,-36,-26,-32
sub-02,A19,-46,-22,-36
sub-02,A20,-56,-16,-38
sub-03,A01,-32,-10,-48
sub-03,A02,-40,-6,-50
sub-03,A03,-48,2,-46
sub-03,A04,-54,8,-42
sub-03,B02,-40,-14,-46
sub-03,B03,-50,-8,-46
sub-03,B04,-56,0,-38
sub-03,B05,NaN,NaN,NaN
sub-03,B06,-34,-24,-34
sub-03,B07,-44,-20,-38
sub-03,B08,-54,-14,-40
sub-03,B09,-60,-8,-34
sub-03,B10,NaN,NaN,NaN
sub-03,B11,-38,-34,-32
sub-03,B12,-48,-26,-32
sub-03,B13,-58,-22,-34
sub-03,B14,-66,-16,-30
sub-03,B15,NaN,NaN,NaN
sub-03,B16,-42,-42,-30
sub-03,B17,-52,-36,-30
sub-03,B18,-62,-32,-30
sub-03,B19,-68,-26,-26
sub-03,B20,NaN,NaN,NaN
sub-04,A01,-24,14,-42
sub-04,A02,-32,12,-44
sub-04,A03,-40,16,-46
sub-04,A04,-46,16,-42
sub-04,B02,-26,-6,-46
sub-04,B03,-36,-4,-50
sub-04,B04,-46,0,-48
sub-04,B05,-54,4,-40
sub-04,B07,-32,-16,-36
sub-04,B08,-42,-16,-42
sub-04,B09,-52,-12,-44
sub-04,B10,-58,-6,-36
sub-04,B12,-36,-26,-30
sub-04,B13,-46,-24,-34
sub-04,B14,-56,-22,-36
sub-04,B15,-64,-18,-32
sub-04,B16,-26,-36,-22
sub-04,B17,-36,-36,-30
sub-04,B18,-48,-34,-30
sub-04,B19,-58,-32,-30
sub-04,B20,-66,-28,-28
sub-04,C01,-32,-58,-20
sub-04,C02,-42,-52,-26
sub-04,C03,-54,-40,-30
sub-04,C04,-64,-32,-28
sub-04,C05,-70,-26,-24
sub-05,A03,-28,-2,-48
sub-05,A04,-38,2,-50
sub-05,A05,-48,8,-46
sub-05,A08,-36,-10,-48
sub-05,A09,-46,-4,-50
sub-05,A10,-54,0,-44
sub-05,A11,-26,-26,-30
sub-05,A12,-34,-20,-36
sub-05,A13,-42,-16,-40
sub-05,A14,-52,-12,-44
sub-05,A15,-60,-8,-40
sub-05,A16,-32,-36,-28
sub-05,A17,-40,-30,-30
sub-05,A18,-48,-24,-32
sub-05,A19,-56,-20,-36
sub-05,A20,-64,-16,-34
sub-06,G01,62,-20,-34
sub-06,G02,38,-14,-44
sub-06,G03,22,2,-40
sub-06,G04,20,10,-34
sub-06,G05,30,-8,-44
sub-06,G06,50,-20,-40
sub-07,I02,-24,-4,-46
sub-07,I03,-34,-4,-50
sub-07,I04,-42,2,-50
sub-07,I07,-28,-16,-40
sub-07,I08,-38,-14,-46
sub-07,I09,-46,-8,-48
sub-07,I12,-30,-24,-36
sub-07,I13,-40,-20,-38
sub-07,I14,-50,-16,-42
sub-07,I16,-24,-28,-24
sub-07,I17,-34,-30,-28
sub-07,I18,-44,-28,-32
sub-07,I19,-54,-22,-36
sub-07,J01,-40,-48,-26
sub-07,J02,-46,-40,-30
sub-07,J03,-52,-30,-32
sub-07,K01,-28,-74,-20
sub-07,K02,-38,-66,-22
sub-07,K03,-46,-56,-26
sub-07,K04,-54,-48,-30
sub-07,K05,-58,-38,-30
sub-08,E04,46,-12,-46
sub-08,E05,54,-8,-46
sub-08,E06,58,-2,-40
sub-08,F01,18,-20,-30
sub-08,F02,28,-22,-34
sub-08,F03,38,-20,-36
sub-08,F04,48,-18,-38
sub-08,F05,58,-16,-40
sub-08,F06,22,-32,-24
sub-08,F07,32,-32,-30
sub-08,F08,42,-30,-32
sub-08,F09,52,-26,-32
sub-08,F10,62,-24,-32
sub-08,F11,24,-40,-20
sub-08,F12,34,-42,-26
sub-08,F13,46,-40,-30
sub-08,F14,56,-36,-30
sub-08,F15,64,-34,-24
sub-08,F16,24,-50,-16
sub-08,F17,34,-50,-24
sub-08,F18,46,-50,-26
sub-08,F19,58,-46,-26
sub-08,F20,66,-46,-20
sub-09,D01,-22,0,-44
sub-09,D02,-28,-4,-48
sub-09,D03,-36,-6,-50
sub-09,D04,-46,-6,-48
sub-09,D05,-54,-4,-42
sub-09,D06,-20,-8,-38
sub-09,D07,-28,-12,-44
sub-09,D08,-36,-14,-44
sub-09,D09,-46,-12,-42
sub-09,D10,-56,-12,-40
sub-09,D11,-20,-14,-34
sub-09,D12,-26,-18,-36
sub-09,D13,-36,-20,-36
sub-09,D14,-46,-22,-36
sub-09,D15,-56,-22,-36
sub-09,D16,-18,-20,-28
sub-09,D17,-26,-24,-30
sub-09,D18,-36,-28,-30
sub-09,D20,-56,-28,-30
sub-09,E01,-20,-46,-16
sub-09,E02,-30,-46,-24
sub-09,E03,-32,-54,-20
sub-09,E04,-42,-42,-28
sub-09,F01,-52,-38,-30
sub-09,F02,-22,-56,-16
sub-09,F03,-44,-52,-26
sub-09,F04,-54,-46,-28
sub-09,G01,-38,-62,-22
sub-09,G02,-48,-60,-24
sub-09,G03,-58,-56,-24
sub-09,G04,-64,-52,-20
sub-10,F01,-24,-12,-38
sub-10,F02,-34,-14,-46
sub-10,F03,-44,-8,-48
sub-10,F04,-54,-2,-44
sub-10,G01,-32,-24,-34
sub-10,G02,-40,-20,-38
sub-10,G03,-48,-14,-44
sub-10,G04,-60,-6,-38
sub-10,H01,-34,-54,-24
sub-10,H02,-38,-46,-28
sub-10,H03,-44,-38,-32
sub-10,H04,-52,-30,-32
sub-10,H05,-60,-20,-36
sub-10,H06,-64,-12,-34
sub-11,A01,-26,-4,-46
sub-11,A02,-30,2,-50
sub-11,A03,-40,4,-50
sub-11,A04,-52,10,-40
sub-11,B02,-22,-12,-38
sub-11,B03,-32,-12,-46
sub-11,B04,-40,-10,-50
sub-11,B05,-46,-2,-48
sub-11,B06,-52,10,-38
sub-11,C04,-50,-18,-40
sub-11,C05,-56,-12,-38
sub-11,C08,-44,-28,-36
sub-11,C09,-54,-24,-36
sub-11,C10,-60,-18,-34
sub-11,C12,-36,-38,-28
sub-11,C13,-46,-34,-30
sub-11,C14,-56,-30,-32
sub-11,C15,-64,-26,-30
sub-11,C16,-28,-50,-18
sub-11,C17,-38,-48,-24
sub-11,C18,-48,-46,-28
sub-11,C19,-56,-42,-26
sub-11,C20,-64,-36,-28
sub-12,B01,22,2,-50
sub-12,B02,24,14,-48
sub-12,B03,32,24,-42
sub-12,B04,46,24,-34
sub-12,C01,22,-26,-26
sub-12,C02,30,-26,-32
sub-12,C03,44,-28,-32
sub-12,C04,54,-24,-34
sub-12,C05,64,-20,-34
sub-12,C07,26,-16,-36
sub-12,C08,38,-18,-40
sub-12,C09,50,-16,-42
sub-12,C10,60,-10,-42
sub-12,C12,22,-8,-40
sub-12,C13,32,-10,-48
sub-12,C14,44,-10,-48
sub-12,C15,56,-4,-46
sub-12,C16,16,2,-32
sub-12,C17,20,0,-44
sub-12,C18,28,-4,-52
sub-12,C19,40,-2,-52
sub-12,C20,54,4,-46
sub-12,D01,40,-42,-28
sub-12,D02,50,-38,-30
sub-12,D03,60,-32,-30
sub-12,D04,70,-26,-24
sub-13,A01,-34,10,-50
sub-13,A02,-44,20,-42
sub-13,A03,-46,26,-34
sub-13,A04,-44,28,-24
sub-13,B01,-20,-8,-40
sub-13,B02,-32,-2,-52
sub-13,B03,-44,4,-54
sub-13,B04,-50,14,-46
sub-13,B05,-50,20,-34
sub-13,B06,-52,24,-26
sub-13,C01,-28,-12,-50
sub-13,C02,-38,-8,-54
sub-13,C03,-48,-2,-50
sub-13,C04,-58,4,-42
sub-13,C05,-62,8,-28
sub-13,C06,-60,12,-14
sub-13,D02,-32,-20,-42
sub-13,D03,-42,-16,-46
sub-13,D04,-52,-12,-48
sub-13,D05,-60,-4,-40
sub-13,D06,-64,2,-28
